playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,BACON,TAV
abreubo01,48,10,1,4,20,20,19,37,4,1,1,3,1,192,216,0.250,0.321,0.375,0.696,0.125,0.309,-0.6,17.13%,8.80%,1.95,0.291,0.310,0.257
abreujo02,159,32,2,28,92,78,43,127,14,10,11,3,1,540,596,0.294,0.359,0.517,0.875,0.222,0.384,33.7,21.31%,7.21%,2.95,0.340,0.385,0.311
abreuto01,47,11,2,5,21,24,14,41,5,1,2,2,2,182,200,0.258,0.318,0.423,0.741,0.165,0.325,1.8,20.50%,7.00%,2.93,0.309,0.333,0.268
ackledu01,87,18,3,10,42,43,29,70,7,1,2,4,3,351,386,0.248,0.309,0.402,0.711,0.154,0.312,-0.4,18.13%,7.51%,2.41,0.284,0.310,0.259
adamecr01,53,9,2,5,23,25,17,49,5,2,2,3,2,209,230,0.254,0.316,0.388,0.703,0.134,0.312,-0.2,21.30%,7.39%,2.88,0.310,0.331,0.259
adamsda02,44,9,1,5,21,21,16,45,5,1,2,2,1,181,200,0.243,0.312,0.387,0.698,0.144,0.309,-0.6,22.50%,8.00%,2.81,0.298,0.324,0.257
adamsla01,46,9,1,5,22,23,16,42,4,1,2,3,1,181,200,0.254,0.322,0.398,0.719,0.144,0.318,0.8,21.00%,8.00%,2.63,0.306,0.331,0.264
adamsma01,89,19,2,11,46,38,22,78,6,2,1,2,1,324,349,0.275,0.323,0.448,0.770,0.173,0.336,6.3,22.35%,6.30%,3.55,0.332,0.362,0.276
adducji02,45,9,1,4,19,23,18,46,4,1,1,4,1,190,211,0.237,0.306,0.358,0.664,0.121,0.296,-2.9,21.80%,8.53%,2.56,0.293,0.313,0.248
adriaeh01,59,14,1,4,27,30,24,55,6,1,4,5,3,247,278,0.239,0.316,0.352,0.669,0.113,0.299,-3.0,19.78%,8.63%,2.29,0.293,0.307,0.250
aguilje01,48,9,1,5,23,22,17,50,4,1,2,3,1,193,214,0.249,0.316,0.383,0.699,0.135,0.310,-0.5,23.36%,7.94%,2.94,0.312,0.336,0.258
ahmedni01,95,18,4,10,38,50,30,82,6,1,2,5,4,399,437,0.238,0.295,0.378,0.673,0.140,0.296,-6.0,18.76%,6.86%,2.73,0.277,0.300,0.248
alberha01,58,10,2,5,24,30,16,50,5,1,2,3,1,231,252,0.251,0.305,0.377,0.682,0.126,0.301,-2.4,19.84%,6.35%,3.13,0.301,0.320,0.251
alcanar01,51,10,1,7,25,28,19,67,4,1,2,6,3,223,246,0.229,0.295,0.377,0.672,0.148,0.297,-3.1,27.24%,7.72%,3.53,0.295,0.327,0.248
almonab01,80,17,3,8,34,43,27,81,8,1,1,7,2,318,351,0.252,0.312,0.399,0.712,0.148,0.312,-0.2,23.08%,7.69%,3.00,0.314,0.338,0.259
almonzo01,46,8,1,5,21,21,15,44,4,1,1,4,1,187,204,0.246,0.305,0.380,0.685,0.134,0.303,-1.7,21.57%,7.35%,2.93,0.297,0.322,0.253
alonsyo01,104,20,1,8,43,48,38,62,12,3,3,6,3,386,430,0.269,0.340,0.389,0.728,0.119,0.324,3.9,14.42%,8.84%,1.63,0.304,0.321,0.268
altheaa01,63,16,3,8,35,38,25,65,6,1,5,7,2,248,281,0.254,0.335,0.440,0.774,0.185,0.339,5.8,23.13%,8.90%,2.60,0.314,0.344,0.279
altuvjo01,177,36,3,10,58,74,34,71,18,6,5,36,10,570,615,0.311,0.355,0.437,0.792,0.126,0.349,17.6,11.54%,5.53%,2.09,0.342,0.355,0.286
alvarda02,50,10,1,6,22,25,17,46,4,1,2,3,1,196,216,0.255,0.321,0.408,0.729,0.153,0.321,1.4,21.30%,7.87%,2.71,0.306,0.333,0.266
alvarpe01,106,18,1,24,72,57,45,132,10,7,3,5,1,440,490,0.241,0.316,0.450,0.766,0.209,0.337,9.6,26.94%,9.18%,2.93,0.289,0.344,0.278
amarial01,91,15,3,6,39,39,29,71,7,4,2,7,2,387,425,0.235,0.292,0.336,0.628,0.101,0.281,-10.8,16.71%,6.82%,2.45,0.274,0.288,0.237
anderbr05,46,9,1,5,23,22,17,41,5,1,2,3,1,183,204,0.251,0.322,0.393,0.715,0.142,0.317,0.6,20.10%,8.33%,2.41,0.299,0.324,0.263
andinro01,44,9,1,4,20,21,17,44,5,1,1,3,1,180,200,0.244,0.313,0.372,0.685,0.128,0.304,-1.4,22.00%,8.50%,2.59,0.303,0.324,0.254
andruel01,143,28,2,6,54,70,45,88,16,1,3,25,9,539,599,0.265,0.325,0.358,0.683,0.093,0.304,-4.4,14.69%,7.51%,1.96,0.308,0.317,0.253
ankieri01,43,9,1,6,23,22,15,51,3,1,1,2,1,182,200,0.236,0.298,0.396,0.694,0.159,0.305,-1.3,25.50%,7.50%,3.40,0.296,0.328,0.254
annade01,45,9,1,5,22,23,16,42,4,1,2,3,1,183,203,0.246,0.313,0.388,0.701,0.142,0.310,-0.4,20.69%,7.88%,2.63,0.294,0.319,0.258
aokino01,113,16,3,5,33,51,36,42,7,1,6,13,6,404,451,0.280,0.348,0.371,0.719,0.092,0.321,2.7,9.31%,7.98%,1.17,0.303,0.312,0.265
arciaos01,62,11,1,11,35,30,21,78,5,3,4,2,1,249,274,0.249,0.318,0.434,0.751,0.185,0.331,4.0,28.47%,7.66%,3.71,0.319,0.363,0.273
arenano01,151,38,3,26,90,76,33,95,16,6,4,3,3,536,579,0.282,0.328,0.509,0.837,0.228,0.363,23.1,16.41%,5.70%,2.88,0.301,0.342,0.296
arencjp01,53,11,0,11,34,26,13,69,5,0,3,1,1,241,259,0.220,0.268,0.402,0.671,0.183,0.292,-4.4,26.64%,5.02%,5.31,0.261,0.308,0.245
ariasjo01,59,10,1,3,22,24,12,41,4,1,1,3,1,233,250,0.253,0.293,0.343,0.636,0.090,0.281,-6.3,16.40%,4.80%,3.42,0.296,0.307,0.237
arrueer01,46,9,1,4,22,23,16,47,4,1,2,3,1,184,204,0.250,0.317,0.375,0.692,0.125,0.307,-0.9,23.04%,7.84%,2.94,0.316,0.336,0.256
ascheco01,109,25,2,12,49,49,35,114,6,4,3,2,2,432,471,0.252,0.313,0.403,0.716,0.150,0.316,1.1,24.20%,7.43%,3.26,0.317,0.343,0.262
ashlene01,47,10,1,5,22,24,15,45,4,1,2,3,1,190,210,0.247,0.309,0.389,0.699,0.142,0.308,-0.8,21.43%,7.14%,3.00,0.300,0.324,0.257
avilaal01,69,15,1,9,36,37,46,104,7,1,2,1,2,306,355,0.225,0.331,0.369,0.700,0.144,0.314,0.3,29.30%,12.96%,2.26,0.311,0.342,0.261
avilemi01,88,15,1,7,37,46,21,54,13,1,2,8,3,362,396,0.243,0.288,0.348,0.636,0.105,0.281,-10.0,13.64%,5.30%,2.57,0.269,0.286,0.237
